,0,Handle,ID,CreatedAt,Location
3562,"Ich mich auch! Bin gespannt, was Du vorlesen wirst https://t.co/0wdiCGUZYt",joanabp,1356411441990004738,2021-02-02 01:17:43,
3563,"I'm discussing “Inner work fürStartups ” with Tina Egolf, Bettina Rollow, @KatjaJaeger, Charlotte Kufus, and Linda… https://t.co/fai6DKLyRi",joanabp,1355242388508332036,2021-01-29 19:52:19,
3564,"RT @XING_de: #newwork fordert von Führungskräften unter anderem eine dynamische Balance. Je mehr äußere Strukturen wir abbauen, desto mehr…",joanabp,1355006374313390083,2021-01-29 04:14:29,
3565,Heute um 13:00 diskutieren wir auf Clubhouse die Bedeutung innerer Kompetenzen für StartUps. Komm dazu! https://t.co/gygBb9I8hy,joanabp,1354802164225486848,2021-01-28 14:43:01,
3566,@serhattas89 @oletillmann @joerg @joinClubhouse https://t.co/iQs5f7hSEs,joanabp,1354545986509692939,2021-01-27 21:45:04,
3567,"I'm discussing “Founders - Der Startup Talk aus Berlin” with @oletillmann and @joerg. Today, 2. Feb at 12:00 PM CET… https://t.co/HLuScAb5G6",joanabp,1354527732542169093,2021-01-27 20:32:32,
3568,Mein Podcast Being Underwater ist ab jetzt auf Anchor. Hier die neueste Folge mit Umweltaktivistin und Erziehungsfo… https://t.co/7ZXPGdGtmI,joanabp,1354439786098995200,2021-01-27 14:43:03,
3569,RT @teraspri: Viele Traumjobs mit Sinn! 👇,joanabp,1354077394399850496,2021-01-26 14:43:03,
3570,"Wie muss sich unsere Gesellschaft insgesamt wandeln, damit wir die Latenzzeit verkürzen? Und welche Rolle spielen i… https://t.co/c4oAGYAuIz",joanabp,1353821207087489024,2021-01-25 21:45:03,
3571,"12 Jahre auf Twitter. Mal begeistert, mal frustriert, mal viel, meist wenig.",joanabp,1353715004898496520,2021-01-25 14:43:02,
3572,"Check out this website, tracking Bidens first 100 days performance: https://t.co/f1CHnaIlFO thanks @amrsobhy",joanabp,1352272823813890055,2021-01-21 15:12:19,
3573,Hier ist die neueste und vorerst letzte Folge unseres Podcasts. Es geht um Solidarität im Arbeitsleben #NewWork https://t.co/oiql6VsB7o,joanabp,1332063301497466880,2020-11-26 20:46:54,
3574,"Toll, was und wie ihr alles geschafft habt! https://t.co/vnZykhPnJ7",joanabp,1330354824609738758,2020-11-22 03:38:01,
3575,RT @teraspri: Ausführlicher Beitrag @dlfkultur zu Social Entrepreneurship u.a. mit @QRTRMSTR @p_eckert @_tomorrow_one @InasNureldin @better…,joanabp,1316823455371755524,2020-10-15 19:29:11,
3576,"You want to know what the Future of Work feels like - physically, emotionally and mentally? Check out this video: https://t.co/zjAiJRazAC",joanabp,1303106645652918274,2020-09-07 23:03:29,
3577,„#MerzVerhindern - Friedrich Merz darf nicht Vorsitzender der CDU werden!” - Jetzt unterschreiben! https://t.co/lXVpQuZjsj via @ChangeFrance,joanabp,1287387637817409546,2020-07-26 14:01:46,
3578,Gratuliere! https://t.co/xo6ZLKaTb5,joanabp,1282861308401115137,2020-07-14 02:15:44,
3579,"Morgen, 2.1.2021 um 19:00 CET bieten Bettina und ich eine Sense Making 2o2o Session an. Meldet euch hier an. Wir fr… https://t.co/jCS7AVt3Mk",joanabp,1282827312996786177,2020-07-14 00:00:39,
